iter	Passed	Remaining
0	145	145143
1	146	73100
2	147	49072
3	148	37037
4	149	29835
5	151	25017
6	152	21595
7	153	19013
8	154	17010
9	155	15397
10	156	14076
11	157	12986
12	158	12057
13	159	11256
14	160	10561
15	161	9950
16	162	9414
17	164	8950
18	165	8533
19	166	8153
20	167	7812
21	168	7502
22	169	7216
23	171	6957
24	172	6711
25	173	6483
26	174	6271
27	174	6074
28	176	5897
29	177	5730
30	178	5570
31	179	5419
32	180	5277
33	181	5144
34	182	5020
35	183	4907
36	184	4795
37	185	4688
38	186	4587
39	187	4491
40	188	4402
41	189	4319
42	190	4235
43	191	4155
44	192	4079
45	193	4006
46	194	3938
47	195	3875
48	196	3811
49	197	3750
50	198	3691
51	199	3634
52	200	3580
53	201	3529
54	202	3477
55	203	3428
56	204	3381
57	205	3335
58	206	3293
59	207	3249
60	208	3207
61	209	3166
62	210	3127
63	211	3088
64	212	3052
65	213	3019
66	214	2984
67	214	2943
68	215	2910
69	216	2879
70	217	2848
71	218	2821
72	220	2794
73	221	2765
74	221	2737
75	222	2710
76	223	2684
77	224	2658
78	226	2635
79	227	2610
80	227	2586
81	228	2562
82	229	2539
83	230	2517
84	231	2493
85	232	2472
86	233	2448
87	234	2428
88	235	2408
89	236	2388
90	237	2368
91	238	2351
92	239	2333
93	240	2315
94	241	2298
95	242	2280
96	243	2263
97	244	2248
98	245	2232
99	246	2217
100	247	2202
101	247	2182
102	248	2167
103	249	2151
104	250	2137
105	251	2123
106	252	2109
107	253	2095
108	254	2081
109	255	2068
110	256	2056
111	257	2043
112	258	2030
113	259	2018
114	260	2006
115	261	1993
116	262	1981
117	263	1970
118	264	1957
119	265	1945
120	266	1934
121	267	1923
122	267	1909
123	268	1898
124	269	1888
125	270	1878
126	271	1868
127	272	1855
128	273	1845
129	274	1836
130	275	1828
131	276	1819
132	277	1809
133	278	1800
134	279	1790
135	280	1781
136	281	1773
137	282	1763
138	283	1755
139	284	1746
140	285	1737
141	286	1729
142	287	1720
143	288	1713
144	289	1706
145	290	1697
146	291	1689
147	292	1681
148	293	1673
149	294	1667
150	295	1659
151	296	1652
